keyword,location,page,position,company,companyRating,companyReviewCount,highlyRatedEmployer,jobkey,jobTitle,jobLocationCity,jobLocationPostal,jobLocationState,maxSalary,minSalary,salaryType,pubDate,jobDescription
software engineer,California,3,5,Anthropic,0,0,,d2d4639a4eaf276a,"Software Engineer, Product",San Francisco,,CA,0,0,none,1674453600000,
software engineer,California,3,6,Oracle,3.8,6958,,a41f0fe77ce965db,Software Developer 4,,,CA,132994.66,105032.586,132994.66,1693198800000,
software engineer,California,3,7,Wells Fargo,3.7,44890,,a553d1c7985748d1,2024 Technology Early Career Development Program (Software or Data Engineer),San Francisco,,CA,0,0,none,1691557200000,
software engineer,California,3,8,Apple,4.1,12265,,99d91f28a7f390ea,Software Engineering (SWE) Early Career Opportunities,San Diego,,CA,0,0,none,1694667600000,
software engineer,California,3,9,ServiceNow,3.7,236,,5d13fbad315e140a,Software Engineer,Santa Clara,95054,CA,0,0,none,1694840400000,
software engineer,California,3,10,Everlaw,0,0,,9720911f84d2acff,Software Engineer,Oakland,,CA,0,0,none,1694408400000,
software engineer,California,3,11,Notion,0,0,,7177b4094a136c07,"Software Engineer, Desktop",San Francisco,,CA,0,0,none,1692680400000,
software engineer,California,3,12,Los Angeles County Department of Human Resources,4,588,,d0923e617ce34856,SOFTWARE ENGINEER,,,CA,0,0,none,1680498000000,
software engineer,California,3,13,Hi-Tek Professionals,4.5,17,,5c88c5f7943fa09d,Embedded Software Engineer,Azusa,,CA,0,0,none,1692075600000,
software engineer,California,3,14,Avenue Code,4.2,17,,34c068db047b6083,Java Engineer,San Francisco,,CA,0,0,none,1694408400000,
